,crop,plot,trt,date_sensed,value,min,max,mean,count,crop varieties,planting density,value planting density,sowing date,days after sowing
131,Wheat,8,Farmer Practice W,2018-02-11,ndvi,0.7815214395523071,0.9398982524871826,0.8871453415612433,746,CIRNO C2008,180,kg ha-1,2017-12-17,56
132,Wheat,8,N-Rich strip,2018-02-21,ndvi,0.6800000071525574,0.8852680325508118,0.8504279185149629,59,CIRNO C2008,180,kg ha-1,2017-12-17,66
133,Wheat,8,Farmer Practice E,2018-02-21,ndvi,0.7062937021255493,0.9254426956176758,0.8848318067306901,759,CIRNO C2008,180,kg ha-1,2017-12-17,66
134,Wheat,8,Farmer Practice W,2018-02-21,ndvi,0.7815214395523071,0.9398982524871826,0.8871453415612433,746,CIRNO C2008,180,kg ha-1,2017-12-17,66
135,Wheat,9,N-Rich strip,2018-01-02,ndvi,0.6440129280090332,0.8002102971076965,0.7172884941101074,112,CIRNO C2008,180,kg ha-1,2017-12-01,32
136,Wheat,9,Farmer Practice N,2018-01-02,ndvi,0.5755329728126526,0.7879117131233215,0.7073559853100869,518,CIRNO C2008,180,kg ha-1,2017-12-01,32
137,Wheat,9,Farmer Practice S,2018-01-02,ndvi,0.5197395086288452,0.7884274125099182,0.6997198328583188,503,CIRNO C2008,180,kg ha-1,2017-12-01,32
138,Wheat,9,N-Rich strip,2018-01-12,ndvi,0.8360474109649658,0.9452724456787109,0.8982584817068917,112,CIRNO C2008,180,kg ha-1,2017-12-01,42
139,Wheat,9,Farmer Practice N,2018-01-12,ndvi,0.7831258177757263,0.9498078227043152,0.8864995890142374,518,CIRNO C2008,180,kg ha-1,2017-12-01,42
140,Wheat,9,Farmer Practice S,2018-01-12,ndvi,0.7232014536857605,0.9447514414787292,0.8792385457761245,503,CIRNO C2008,180,kg ha-1,2017-12-01,42
141,Wheat,9,N-Rich strip,2018-01-22,ndvi,0.8739229440689087,0.9512578845024109,0.9349738529750279,112,CIRNO C2008,180,kg ha-1,2017-12-01,52
142,Wheat,9,Farmer Practice N,2018-01-22,ndvi,0.8732734322547913,0.9488428831100464,0.9289002878785594,518,CIRNO C2008,180,kg ha-1,2017-12-01,52
143,Wheat,9,Farmer Practice S,2018-01-22,ndvi,0.8111715912818909,0.9522262811660767,0.9242653211589836,503,CIRNO C2008,180,kg ha-1,2017-12-01,52
144,Wheat,9,N-Rich strip,2018-02-11,ndvi,0.9053229093551636,0.9571302533149719,0.9408815247671944,112,CIRNO C2008,180,kg ha-1,2017-12-01,72
145,Wheat,9,Farmer Practice N,2018-02-11,ndvi,0.9013028144836426,0.9575692415237427,0.9385520905601472,518,CIRNO C2008,180,kg ha-1,2017-12-01,72
146,Wheat,9,Farmer Practice S,2018-02-11,ndvi,0.8395823240280151,0.9553957581520081,0.9347384928708996,503,CIRNO C2008,180,kg ha-1,2017-12-01,72
147,Wheat,9,N-Rich strip,2018-02-21,ndvi,0.9057634472846985,0.9578946828842163,0.9431601251874652,112,CIRNO C2008,180,kg ha-1,2017-12-01,82
148,Wheat,9,Farmer Practice N,2018-02-21,ndvi,0.9009288549423218,0.9580221176147461,0.9412343971517555,518,CIRNO C2008,180,kg ha-1,2017-12-01,82
149,Wheat,9,Farmer Practice S,2018-02-21,ndvi,0.8448672890663147,0.9581437706947327,0.9373135576191289,503,CIRNO C2008,180,kg ha-1,2017-12-01,82
